5 5
0 1 5
1 2 4
2 3 3
3 4 2
4 0 1

6 9
0 1 1
0 2 2
0 3 3
1 4 4
2 4 5
3 4 4
1 5 3
2 5 3
3 5 2

4 4
0 1 10
0 2 10
1 3 10
2 3 10

5 6
0 1 10
0 3 5
1 2 1
1 3 2
2 4 4
3 4 3

10 15
0 9 89
0 4 57
0 7 98
0 1 23
0 3 99
1 2 103
1 6 46
2 9 52
3 9 26
3 8 70
4 8 68
4 9 102
5 8 37
6 8 30
6 9 79

8 15
0 4 188
0 6 124
0 3 206
0 1 57
1 7 209
1 5 217
1 6 103
1 4 115
1 2 62
2 6 151
2 4 146
3 4 214
3 5 84
4 7 70
4 6 168

16 16
0 1 238
0 15 174
1 2 256
2 3 107
3 4 259
4 5 267
5 6 153
6 7 165
7 8 112
8 9 201
9 10 196
10 11 264
11 12 134
12 13 120
13 14 218
14 15 101

25 25
0 1 672
0 24 947
1 2 416
2 3 745
3 4 150
4 5 756
5 6 789
6 7 966
7 8 335
8 9 383
9 10 169
10 11 526
11 12 505
12 13 776
13 14 257
14 15 203
15 16 592
16 17 127
17 18 654
18 19 368
19 20 146
20 21 194
21 22 283
22 23 982
23 24 955

10 10
0 1 672
0 9 947
1 2 416
2 3 745
3 4 150
4 5 756
5 6 789
6 7 966
7 8 335
8 9 383

8 11
0 4 238
0 6 174
0 3 256
0 1 107
1 7 259
1 5 267
1 6 153
1 4 165
2 6 112
3 4 201
4 7 196
